2021-11-22 11:42:28,020 INFO       server Соединение с ('127.0.0.1', 58337) разорвано.
2021-11-22 11:42:28,021 INFO       server Соединение с ('127.0.0.1', 58334) разорвано.
2021-11-22 11:42:28,021 INFO       server Соединение с ('127.0.0.1', 58335) разорвано.
2021-11-22 11:42:28,021 INFO       server Соединение с ('127.0.0.1', 58336) разорвано.
2021-11-22 11:43:43,904 INFO       decos Произошел вызов функции arg_parser со следующими параметрами - (), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:43:43,904 INFO       server Сервер запущен. Порт для подключения: 7777, адрес: . При отсутствии адреса сервер принимает соединения со любых адресов
2021-11-22 11:43:43,905 INFO       server Настройка сокета завершена.
2021-11-22 11:43:43,964 INFO       server Соединение с ('127.0.0.1', 58377) установлено
2021-11-22 11:43:44,005 INFO       server Соединение с ('127.0.0.1', 58378) установлено
2021-11-22 11:43:44,006 INFO       decos Произошел вызов функции get_message со следующими параметрами - (<socket.socket fd=300, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58377)>,), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:43:44,007 INFO       server Разбор сообщения {'action': 'presence', 'time': 1637570623.9645705, 'user': {'account_name': 'test1'}}.
2021-11-22 11:43:44,008 INFO       decos Произошел вызов функции send_message со следующими параметрами - (<socket.socket fd=300, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58377)>, {'response': 200}), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:43:44,008 INFO       server Зарегистрирован новый пользователь <socket.socket fd=300, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58377)>.
2021-11-22 11:43:44,009 INFO       decos Произошел вызов функции process_user_message со следующими параметрами - ({'action': 'presence', 'time': 1637570623.9645705, 'user': {'account_name': 'test1'}}, [], <socket.socket fd=300, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58377)>, [<socket.socket fd=300, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58377)>, <socket.socket fd=392, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58378)>], {'test1': <socket.socket fd=300, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58377)>}), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:43:44,046 INFO       server Соединение с ('127.0.0.1', 58379) установлено
2021-11-22 11:43:44,047 INFO       decos Произошел вызов функции get_message со следующими параметрами - (<socket.socket fd=392, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58378)>,), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:43:44,047 INFO       server Разбор сообщения {'action': 'presence', 'time': 1637570624.0055802, 'user': {'account_name': 'test2'}}.
2021-11-22 11:43:44,049 INFO       decos Произошел вызов функции send_message со следующими параметрами - (<socket.socket fd=392, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58378)>, {'response': 200}), {}. Вызов произошел из функции main() модуля decos.py
2021-11-22 11:43:44,049 INFO       server Зарегистрирован новый пользователь <socket.socket fd=392, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 58378)>.
